Code,Word
10000,anal
10001,ass
10002,asshole
10003,babo
10004,babu
10005,bastard
10006,bitch
10007,bo?
10008,c8
10009,c?
10010,c?
10011,cock
10012,cunt
10013,damn
10014,ddr
10015,dildo
10016,fuck
10017,fucking
10018,fucku
10019,fuckyou
10020,fuck-you
10021,g?
10022,gay
10023,horny
10024,ja?
10025,lesbian
10026,motherfucker
10027,nigimi
10028,nimi
10029,o0o
10030,oOo
10031,penis
10032,porno
10033,pussy
10034,sex
10035,shit
10036,suck
10037,x?
10038,x?
10039,xx
10040,Kiss my ass
10041,Suck my dick
10042,Suck your dick
10043,Suck my mother fucking dick
10044,Kiss my mother fucking ass
10045,Cock sucking pig
10046,Cock sucking bitch
10047,Mother fucker
10048,Bloody hell
10049,Gay whore
10050,Gay ass bitch
10051,fucking homo
10052,anus
10053,anal
10054,beaver
10055,bitch
10056,b!tch
10057,biotch
10058,bitty
10059,biznatch
10060,blowjob
10061,boner
10062,bong
10063,boob
10064,browneye
10065,browntown
10066,bulldager
10067,bullhell
10068,bullshit
10069,bung
10070,butch
10071,callgirl
10072,chink
10073,cheesedick
10074,circlejerk
10075,clit
10076,cobia
10077,cock
10078,cooter
10079,crack
10080,crotch
10081,cum
10082,cunnilingus
10083,cunt
10084,dick
10085,dike
10086,dildo
10087,dilldoe
10088,dilldos
10089,dipshit
10090,dong
10091,doper
10092,doobie
10093,douche
10094,dumbass
10095,dyke
10096,ejaculation
10097,fag
10098,fareskin
10099,fatass
10100,foreskin
10101,fuck
10102,fcuk
10103,fuk
10104,fvck
10105,furburger
10106,gazongers
10107,goddam
10108,goddammit
10109,goddamn
10110,gonads
10111,hardon
10112,homo
10113,homosexual
10114,honker
10115,honkey
10116,honky
10117,hooker
10118,horny
10119,hussy
10120,hymen
10121,hyman
10122,iraq
10123,iraquies
10124,iraqies
10125,jackoff
10126,jackass
10127,jap
10128,jew
10129,j3w
10130,j3w
10131,jizz
10132,kike
10133,lesbian
10134,lesbo
10135,lessy
10136,masterbate
10137,masterbating
10138,masturbating
10139,masturbator
10140,masterbator
10141,muff
10142,nigger
10143,niggah
10144,n!gger
10145,nigga
10146,penis
10147,pimp
10148,phuck
10149,pothead
10150,polack
10151,poontang
10152,prick
10153,prostitute
10154,puntang
10155,pussy
10156,pussydick
10157,pussylips
10158,queer
10159,quefe
10160,quief
10161,reefer
10162,retard
10163,saddam
10164,sadam
10165,schlong
10166,slackass
10167,sleeze
10168,slit
10169,slut
10170,slutty
10171,snatch
10172,stoned
10173,sperm
10174,strapon
10175,sux
10176,tits
10177,titty
10178,tramp
10179,twat
10180,vibrator
10181,vagina
10182,wang
10183,wetback
10184,whore
10185,wigger
