Index,Code,Limit,Free,New,Amount,Discount,Sell,Cash,Point,Time,Winner0,Winner1,Winner2,Winner3,Winner4,Winner5,Loser0,Loser1,Loser2,Loser3,Loser4,Loser5,Name,CameraFile,Nif,IconFile,Explain
0,1,0,0,0,1,0,0,0,0,5,72030101,72030102,72010102,72010102,72010102,72010102,72030103,72010103,72010103,72010103,72010103,72010103,«·«Õ ›«·,-,0,-,-
1,101,0,0,0,1,0,0,0,0,11.3,73510101,73510102,73510103,73510104,73510105,73510106,73510201,73510202,73510203,73510204,73510205,73510206,«·«›  «Õ «·«Ê·,73510101_Ca,0,-,-
2,102,0,0,0,1,0,0,0,0,10,73520101,73520102,73520103,73520104,73520105,73520106,73520201,73520202,73520203,73520204,73520205,73520206,«·«›  «Õ «·À«‰Ì,73520101_Ca,0,-,-
3,1001,0,0,0,1,0,0,0,0,4,73010101,73010102,73010103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,—ﬂ÷… «·‰’—,73010101_Ca,0,Cere_1001,-
4,1002,0,0,0,1,0,0,0,0,4,73020101,73020102,73020103,73020104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·—ﬂ÷… «·’«—ÊŒÌ…,73020101_Ca,0,Cere_1002,-
5,1003,0,0,0,1,0,0,0,0,5,73060101,73060102,73060103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,ﬁ›“… ⁄«·Ì…,73060101_Ca,0,Cere_1003,-
6,1004,0,0,0,1,0,0,0,0,4,73070101,73070102,73070103,73070104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«’„ !,73070101_Ca,0,Cere_1004,-
7,1005,0,0,0,1,0,0,0,0,4,73080101,73080102,73080103,73080104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ÊÊÊÂ ‰⁄„!!!,73080101_Ca,0,Cere_1005,
8,10001,0,0,0,1,100,3,100,100,4,73030101,73030102,73030103,73030104,73030105,73030106,73000201,73000202,73000203,73000204,73000205,73000206,—ﬁ’… «·ﬂ—”»Ì,73030101_Ca,0,Cere_10001,-
9,10002,0,0,0,1,100,3,100,100,4,73040101,73000102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,„’«—⁄…,73040101_Ca,0,Cere_10002,-
10,10003,0,0,0,1,100,3,100,100,5.5,73050101,73050102,73050103,73050104,73050105,73000106,73050201,73050202,73050203,73050204,73050205,73000206,”Œ—Ì…,73050101_Ca,0,Cere_10003,-
11,1071,0,0,0,1,0,0,0,0,3.5,73710101,73710102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ﬂ„·  «·œ·Ì· 1,73710101_Ca,0,Cere_1071,-
12,1072,0,0,0,1,0,0,0,0,3,73720101,73720102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ﬂ„·  «·œ·Ì· 2,73720101_Ca,0,Cere_1072,-
13,1073,0,0,0,1,0,0,0,0,4,73780101,73780102,73780103,73780104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«‰Â«¡ «·œ·Ì·,73780101_Ca,0,Cere_1072,-
14,1074,0,0,0,1,0,0,0,0,4,73790101,73790102,73790103,73790104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,›‘· ›Ì «·œ·Ì·,73790101_Ca,0,Cere_1072,-
15,1081,0,0,0,1,0,0,0,0,4,73810101,73810102,73810103,73810104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,Âœ›ﬂ,73810101_Ca,0,Cere_1081,-
16,1091,0,0,0,1,0,0,0,0,4,73910101,73910102,73910103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·Âœ› «·–Â»Ì,73910101_Ca,0,Cere_1091,-
