Index,Code,Type,Order,Design,Color,Name,Rate,Wear,Company,Gender,Brand,Divest,Limit,Exchange,Inchant,Sum,Gift,Parcel,Free,New,Event,Amount,Discount,Sell,Cash,Point,CPack,PPack,IconFile10,IconFile20,MeshFile10,MeshFile20,EnvironFile10,EnvironFile20,TextureFile11,TextureFile12,TextureFile13,TextureFile21,TextureFile22,Description
0,101101111,101,101,1,11,황인기본얼굴1,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,Face11_101_D1_C11,-,Face11_101,-,-,-,Face11_101_D1_C11,-,-,-,-,[사용법] 아이템을 클릭하여 착용/해제 합니다.
1,101101112,101,101,1,12,백인 기본얼굴1,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,Face12_101_D1_C12,-,Face12_101,-,-,-,-,Face12_101_D1_C12,-,-,-,[사용법] 아이템을 클릭하여 착용/해제 합니다.
2,101101113,101,101,1,13,흑인 기본얼굴1,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,Face13_101_D1_C13,-,Face13_101,-,-,-,-,-,Face13_101_D1_C13,-,-,[사용법] 아이템을 클릭하여 착용/해제 합니다.
3,101101121,101,101,1,21,백인 기본얼굴1,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,-,Face21_101_D1_C21,-,Face21_101,-,-,-,-,-,Face21_101_D1_C21,-,[사용법] 아이템을 클릭하여 착용/해제 합니다.
4,101101122,101,101,1,22,흑인 기본얼굴1,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,-,Face22_101_D1_C22,-,Face22_101,-,-,-,-,-,-,Face22_101_D1_C22,[사용법] 아이템을 클릭하여 착용/해제 합니다.
5,102101101,102,101,1,1,기본 샤기 헤어,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,2000,102010,102005,Hair11_101_D1_C1,-,Hair10_101,-,-,-,Hair11_101_D1_C1,Hair11_101_D1_C1,Hair11_101_D1_C1,Hair11_101_D1_C1,Hair11_101_D1_C1,[사용법] 아이템을 클릭하여 착용/해제 합니다.
6,102102101,102,102,1,1,숏 모히칸,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,3000,102010,102005,Hair11_102_D1_C1,-,Hair10_102,-,-,-,Hair11_102_D1_C1,Hair11_102_D1_C1,Hair11_102_D1_C1,Hair11_102_D1_C1,Hair11_102_D1_C1,[사용법] 아이템을 클릭하여 착용/해제 합니다.
7,102103101,102,103,1,1,미디엄 샤기,20,1,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,2000,102010,102005,-,Hair21_103_D1_C1,-,Hair20_103,-,-,Hair21_103_D1_C1,Hair21_103_D1_C1,Hair21_103_D1_C1,Hair21_103_D1_C1,Hair21_103_D1_C1,[사용법] 아이템을 클릭하여 착용/해제 합니다.
8,102104101,102,104,1,1,세미 롱 샤기,20,1,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,3000,102010,102005,-,Hair21_104_D1_C1,-,Hair20_104,-,-,Hair21_104_D1_C1,Hair21_104_D1_C1,Hair21_104_D1_C1,Hair21_104_D1_C1,Hair21_104_D1_C1,[사용법] 아이템을 클릭하여 착용/해제 합니다.
9,102105101,102,105,1,1,갈색 꽁지머리,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1500,102010,102005,Hair11_105_D1_C1,-,Hair10_105,-,-,-,Hair11_105_D1_C1,Hair11_105_D1_C1,Hair11_105_D1_C1,Hair11_105_D1_C1,Hair11_105_D1_C1,[사용법] 아이템을 클릭하여 착용/해제 합니다.
