Index,Code,Type,Order,Value,Cash,Point,Text
0,100001,10,0,1,200,1000,달리기 + 1
1,100002,10,1,2,400,2000,달리기 + 2
2,100003,10,2,3,600,3000,달리기 + 3
3,100004,10,3,4,800,4000,달리기 + 4
4,100005,10,4,5,1000,5000,달리기 + 5
5,100006,10,5,6,1200,6000,달리기 + 6
6,100007,10,6,7,1400,7000,달리기 + 7
7,100008,10,7,8,1600,8000,달리기 + 8
8,100009,10,8,9,1800,9000,달리기 + 9
9,100010,10,9,10,2000,10000,달리기 + 10
10,101002,10,0,2,600,3000,달리기 + 2
11,101005,10,1,5,1400,7000,달리기 + 5
12,101008,10,2,8,2000,10000,달리기 + 8
13,110001,11,0,1,200,1000,드리블 + 1
14,110002,11,1,2,400,2000,드리블 + 2
15,110003,11,2,3,600,3000,드리블 + 3
16,110004,11,3,4,800,4000,드리블 + 4
17,110005,11,4,5,1000,5000,드리블 + 5
18,110006,11,5,6,1200,6000,드리블 + 6
19,110007,11,6,7,1400,7000,드리블 + 7
20,110008,11,7,8,1600,8000,드리블 + 8
21,110009,11,8,9,1800,9000,드리블 + 9
22,110010,11,9,10,2000,10000,드리블 + 10
23,111002,11,0,2,600,3000,드리블 + 2
24,111005,11,1,5,1400,7000,드리블 + 5
25,111008,11,2,8,2000,10000,드리블 + 8
26,120001,12,0,1,200,1000,순발력 + 1
27,120002,12,1,2,400,2000,순발력 + 2
28,120003,12,2,3,600,3000,순발력 + 3
29,120004,12,3,4,800,4000,순발력 + 4
30,120005,12,4,5,1000,5000,순발력 + 5
31,120006,12,5,6,1200,6000,순발력 + 6
32,120007,12,6,7,1400,7000,순발력 + 7
33,120008,12,7,8,1600,8000,순발력 + 8
34,120009,12,8,9,1800,9000,순발력 + 9
35,120010,12,9,10,2000,10000,순발력 + 10
36,121002,12,0,2,600,3000,순발력 + 2
37,121005,12,1,5,1400,7000,순발력 + 5
38,121008,12,2,8,2000,10000,순발력 + 8
39,130001,13,0,1,200,1000,근력 + 1
40,130002,13,1,2,400,2000,근력 + 2
41,130003,13,2,3,600,3000,근력 + 3
42,130004,13,3,4,800,4000,근력 + 4
43,130005,13,4,5,1000,5000,근력 + 5
44,130006,13,5,6,1200,6000,근력 + 6
45,130007,13,6,7,1400,7000,근력 + 7
46,130008,13,7,8,1600,8000,근력 + 8
47,130009,13,8,9,1800,9000,근력 + 9
48,130010,13,9,10,2000,10000,근력 + 10
49,131002,13,0,2,600,3000,근력 + 2
50,131005,13,1,5,1400,7000,근력 + 5
51,131008,13,2,8,2000,10000,근력 + 8
52,140001,14,0,1,200,1000,탄력 + 1
53,140002,14,1,2,400,2000,탄력 + 2
54,140003,14,2,3,600,3000,탄력 + 3
55,140004,14,3,4,800,4000,탄력 + 4
56,140005,14,4,5,1000,5000,탄력 + 5
57,140006,14,5,6,1200,6000,탄력 + 6
58,140007,14,6,7,1400,7000,탄력 + 7
59,140008,14,7,8,1600,8000,탄력 + 8
60,140009,14,8,9,1800,9000,탄력 + 9
61,140010,14,9,10,2000,10000,탄력 + 10
62,141002,14,0,2,600,3000,탄력 + 2
63,141005,14,1,5,1400,7000,탄력 + 5
64,141008,14,2,8,2000,10000,탄력 + 8
65,150001,15,0,1,200,1000,몸싸움 + 1
66,150002,15,1,2,400,2000,몸싸움 + 2
67,150003,15,2,3,600,3000,몸싸움 + 3
68,150004,15,3,4,800,4000,몸싸움 + 4
69,150005,15,4,5,1000,5000,몸싸움 + 5
70,150006,15,5,6,1200,6000,몸싸움 + 6
71,150007,15,6,7,1400,7000,몸싸움 + 7
72,150008,15,7,8,1600,8000,몸싸움 + 8
73,150009,15,8,9,1800,9000,몸싸움 + 9
74,150010,15,9,10,2000,10000,몸싸움 + 10
75,151002,15,0,2,600,3000,몸싸움 + 2
76,151005,15,1,5,1400,7000,몸싸움 + 5
77,151008,15,2,8,2000,10000,몸싸움 + 8
78,160001,16,0,1,200,1000,크로스 + 1
79,160002,16,1,2,400,2000,크로스 + 2
80,160003,16,2,3,600,3000,크로스 + 3
81,160004,16,3,4,800,4000,크로스 + 4
82,160005,16,4,5,1000,5000,크로스 + 5
83,160006,16,5,6,1200,6000,크로스 + 6
84,160007,16,6,7,1400,7000,크로스 + 7
85,160008,16,7,8,1600,8000,크로스 + 8
86,160009,16,8,9,1800,9000,크로스 + 9
87,160010,16,9,10,2000,10000,크로스 + 10
88,161002,16,0,2,600,3000,크로스 + 2
89,161005,16,1,5,1400,7000,크로스 + 5
90,161008,16,2,8,2000,10000,크로스 + 8
91,170001,17,0,1,200,1000,숏패스 + 1
92,170002,17,1,2,400,2000,숏패스 + 2
93,170003,17,2,3,600,3000,숏패스 + 3
94,170004,17,3,4,800,4000,숏패스 + 4
95,170005,17,4,5,1000,5000,숏패스 + 5
96,170006,17,5,6,1200,6000,숏패스 + 6
97,170007,17,6,7,1400,7000,숏패스 + 7
98,170008,17,7,8,1600,8000,숏패스 + 8
99,170009,17,8,9,1800,9000,숏패스 + 9
100,170010,17,9,10,2000,10000,숏패스 + 10
101,171002,17,0,2,600,3000,숏패스 + 2
102,171005,17,1,5,1400,7000,숏패스 + 5
103,171008,17,2,8,2000,10000,숏패스 + 8
104,180001,18,0,1,200,1000,롱패스 + 1
105,180002,18,1,2,400,2000,롱패스 + 2
106,180003,18,2,3,600,3000,롱패스 + 3
107,180004,18,3,4,800,4000,롱패스 + 4
108,180005,18,4,5,1000,5000,롱패스 + 5
109,180006,18,5,6,1200,6000,롱패스 + 6
110,180007,18,6,7,1400,7000,롱패스 + 7
111,180008,18,7,8,1600,8000,롱패스 + 8
112,180009,18,8,9,1800,9000,롱패스 + 9
113,180010,18,9,10,2000,10000,롱패스 + 10
114,181002,18,0,2,600,3000,롱패스 + 2
115,181005,18,1,5,1400,7000,롱패스 + 5
116,181008,18,2,8,2000,10000,롱패스 + 8
117,190001,19,0,1,200,1000,헤딩슛 + 1
118,190002,19,1,2,400,2000,헤딩슛 + 2
119,190003,19,2,3,600,3000,헤딩슛 + 3
120,190004,19,3,4,800,4000,헤딩슛 + 4
121,190005,19,4,5,1000,5000,헤딩슛 + 5
122,190006,19,5,6,1200,6000,헤딩슛 + 6
123,190007,19,6,7,1400,7000,헤딩슛 + 7
124,190008,19,7,8,1600,8000,헤딩슛 + 8
125,190009,19,8,9,1800,9000,헤딩슛 + 9
126,190010,19,9,10,2000,10000,헤딩슛 + 10
127,191002,19,0,2,600,3000,헤딩슛 + 2
128,191005,19,1,5,1400,7000,헤딩슛 + 5
129,191008,19,2,8,2000,10000,헤딩슛 + 8
130,200001,20,0,1,200,1000,단거리슛 + 1
131,200002,20,1,2,400,2000,단거리슛 + 2
132,200003,20,2,3,600,3000,단거리슛 + 3
133,200004,20,3,4,800,4000,단거리슛 + 4
134,200005,20,4,5,1000,5000,단거리슛 + 5
135,200006,20,5,6,1200,6000,단거리슛 + 6
136,200007,20,6,7,1400,7000,단거리슛 + 7
137,200008,20,7,8,1600,8000,단거리슛 + 8
138,200009,20,8,9,1800,9000,단거리슛 + 9
139,200010,20,9,10,2000,10000,단거리슛 + 10
140,201002,20,0,2,600,3000,단거리슛 + 2
141,201005,20,1,5,1400,7000,단거리슛 + 5
142,201008,20,2,8,2000,10000,단거리슛 + 8
143,210001,21,0,1,200,1000,중거리슛 + 1
144,210002,21,1,2,400,2000,중거리슛 + 2
145,210003,21,2,3,600,3000,중거리슛 + 3
146,210004,21,3,4,800,4000,중거리슛 + 4
147,210005,21,4,5,1000,5000,중거리슛 + 5
148,210006,21,5,6,1200,6000,중거리슛 + 6
149,210007,21,6,7,1400,7000,중거리슛 + 7
150,210008,21,7,8,1600,8000,중거리슛 + 8
151,210009,21,8,9,1800,9000,중거리슛 + 9
152,210010,21,9,10,2000,10000,중거리슛 + 10
153,211002,21,0,2,600,3000,중거리슛 + 2
